    µm         	 V
7.626985e-001	-1.353000e+000
7.617219e-001	-1.354125e+000
7.607454e-001	-1.354875e+000
7.597688e-001	-1.356000e+000
7.587922e-001	-1.357125e+000
7.578157e-001	-1.357500e+000
7.568391e-001	-1.359000e+000
7.558625e-001	-1.359750e+000
7.548859e-001	-1.360875e+000
7.539094e-001	-1.361250e+000
7.529328e-001	-1.362375e+000
7.519562e-001	-1.363500e+000
7.509797e-001	-1.364250e+000
7.500031e-001	-1.365750e+000
7.490265e-001	-1.366500e+000
7.480500e-001	-1.366875e+000
7.470734e-001	-1.368000e+000
7.460968e-001	-1.369125e+000
7.451202e-001	-1.370625e+000
7.441437e-001	-1.371000e+000
7.431671e-001	-1.372125e+000
7.421905e-001	-1.372875e+000
7.412140e-001	-1.374000e+000
7.402374e-001	-1.374375e+000
7.392608e-001	-1.375875e+000
7.382843e-001	-1.376625e+000
7.373077e-001	-1.377375e+000
7.363311e-001	-1.378500e+000
7.353545e-001	-1.379250e+000
7.343780e-001	-1.380375e+000
7.334014e-001	-1.381125e+000
7.324248e-001	-1.382250e+000
7.314483e-001	-1.383000e+000
7.304717e-001	-1.384125e+000
7.294951e-001	-1.384875e+000
7.285186e-001	-1.386000e+000
7.275420e-001	-1.386750e+000
7.265654e-001	-1.387875e+000
7.255888e-001	-1.389000e+000
7.246123e-001	-1.390125e+000
7.236357e-001	-1.390500e+000
7.226591e-001	-1.391250e+000
7.216826e-001	-1.392750e+000
7.207060e-001	-1.393875e+000
7.197294e-001	-1.394625e+000
7.187529e-001	-1.395750e+000
7.177763e-001	-1.396500e+000
7.167997e-001	-1.397250e+000
7.158231e-001	-1.398000e+000
7.148466e-001	-1.399125e+000
7.138700e-001	-1.400625e+000
7.128934e-001	-1.401000e+000
7.119169e-001	-1.402125e+000
7.109403e-001	-1.402875e+000
7.099637e-001	-1.403625e+000
7.089872e-001	-1.404750e+000
7.080106e-001	-1.406250e+000
7.070340e-001	-1.407000e+000
7.060574e-001	-1.407375e+000
7.050809e-001	-1.408500e+000
7.041043e-001	-1.409250e+000
7.031277e-001	-1.410375e+000
7.021512e-001	-1.411500e+000
7.011746e-001	-1.412625e+000
7.001980e-001	-1.413375e+000
6.992215e-001	-1.414125e+000
6.982449e-001	-1.414875e+000
6.972683e-001	-1.416000e+000
6.962917e-001	-1.417125e+000
6.953152e-001	-1.417875e+000
6.943386e-001	-1.418625e+000
6.933620e-001	-1.420125e+000
6.923855e-001	-1.420875e+000
6.914089e-001	-1.421250e+000
6.904323e-001	-1.422000e+000
6.894558e-001	-1.423500e+000
6.884792e-001	-1.424250e+000
6.875026e-001	-1.425000e+000
6.865261e-001	-1.426125e+000
6.855495e-001	-1.426875e+000
6.845729e-001	-1.428000e+000
6.835963e-001	-1.428750e+000
6.826198e-001	-1.429500e+000
6.816432e-001	-1.430625e+000
6.806666e-001	-1.431750e+000
6.796901e-001	-1.432500e+000
6.787135e-001	-1.433625e+000
6.777369e-001	-1.434000e+000
