    nm         	mV
4.726586e+001	-5.625000e+002
4.716820e+001	-5.628750e+002
4.707054e+001	-5.662500e+002
4.697289e+001	-5.617500e+002
4.687523e+001	-5.666250e+002
4.677757e+001	-5.632500e+002
4.667992e+001	-5.685000e+002
4.658226e+001	-5.733750e+002
4.648460e+001	-5.670000e+002
4.638694e+001	-5.651250e+002
4.628929e+001	-5.752500e+002
4.619163e+001	-5.685000e+002
4.609397e+001	-5.722500e+002
4.599632e+001	-5.778750e+002
4.589866e+001	-5.711250e+002
4.580100e+001	-5.737500e+002
4.570335e+001	-5.808750e+002
4.560569e+001	-5.748750e+002
4.550803e+001	-5.775000e+002
4.541037e+001	-5.808750e+002
4.531272e+001	-5.778750e+002
4.521506e+001	-5.790000e+002
4.511740e+001	-5.857500e+002
4.501975e+001	-5.797500e+002
4.492209e+001	-5.842500e+002
4.482443e+001	-5.865000e+002
4.472678e+001	-5.835000e+002
4.462912e+001	-5.805000e+002
4.453146e+001	-5.887500e+002
4.443380e+001	-5.895000e+002
4.433615e+001	-5.853750e+002
4.423849e+001	-5.925000e+002
4.414083e+001	-5.898750e+002
4.404318e+001	-5.857500e+002
4.394552e+001	-5.932500e+002
4.384786e+001	-5.966250e+002
4.375021e+001	-5.902500e+002
4.365255e+001	-5.966250e+002
4.355489e+001	-5.932500e+002
4.345723e+001	-5.943750e+002
4.335958e+001	-5.970000e+002
4.326192e+001	-5.988750e+002
4.316426e+001	-6.003750e+002
4.306661e+001	-6.015000e+002
4.296895e+001	-5.966250e+002
4.287129e+001	-5.985000e+002
4.277364e+001	-6.026250e+002
4.267598e+001	-6.045000e+002
4.257832e+001	-6.052500e+002
4.248066e+001	-6.030000e+002
4.238301e+001	-6.082500e+002
4.228535e+001	-6.030000e+002
4.218769e+001	-6.071250e+002
4.209004e+001	-6.108750e+002
4.199238e+001	-6.078750e+002
4.189472e+001	-6.090000e+002
4.179707e+001	-6.108750e+002
4.169941e+001	-6.112500e+002
4.160175e+001	-6.105000e+002
4.150409e+001	-6.180000e+002
4.140644e+001	-6.127500e+002
4.130878e+001	-6.127500e+002
4.121112e+001	-6.165000e+002
4.111347e+001	-6.176250e+002
4.101581e+001	-6.172500e+002
4.091815e+001	-6.210000e+002
4.082050e+001	-6.165000e+002
4.072284e+001	-6.180000e+002
4.062518e+001	-6.243750e+002
4.052752e+001	-6.198750e+002
4.042987e+001	-6.210000e+002
4.033221e+001	-6.255000e+002
4.023455e+001	-6.255000e+002
4.013690e+001	-6.213750e+002
4.003924e+001	-6.288750e+002
3.994158e+001	-6.288750e+002
3.984393e+001	-6.255000e+002
3.974627e+001	-6.296250e+002
3.964861e+001	-6.281250e+002
3.955095e+001	-6.270000e+002
3.945330e+001	-6.311250e+002
3.935564e+001	-6.345000e+002
3.925798e+001	-6.318750e+002
3.916033e+001	-6.333750e+002
3.906267e+001	-6.326250e+002
3.896501e+001	-6.322500e+002
3.886736e+001	-6.375000e+002
3.876970e+001	-6.378750e+002
3.867204e+001	-6.367500e+002
3.857438e+001	-6.345000e+002
3.847673e+001	-6.393750e+002
3.837907e+001	-6.337500e+002
3.828141e+001	-6.450000e+002
3.818376e+001	-6.438750e+002
3.808610e+001	-6.393750e+002
3.798844e+001	-6.416250e+002
3.789079e+001	-6.442500e+002
3.779313e+001	-6.401250e+002
3.769547e+001	-6.453750e+002
3.759781e+001	-6.476250e+002
3.750016e+001	-6.427500e+002
3.740250e+001	-6.480000e+002
3.730484e+001	-6.506250e+002
3.720719e+001	-6.483750e+002
3.710953e+001	-6.476250e+002
3.701187e+001	-6.510000e+002
3.691422e+001	-6.513750e+002
3.681656e+001	-6.495000e+002
3.671890e+001	-6.570000e+002
3.662124e+001	-6.506250e+002
3.652359e+001	-6.543750e+002
3.642593e+001	-6.573750e+002
3.632827e+001	-6.562500e+002
3.623062e+001	-6.555000e+002
3.613296e+001	-6.630000e+002
3.603530e+001	-6.581250e+002
3.593765e+001	-6.581250e+002
3.583999e+001	-6.596250e+002
3.574233e+001	-6.648750e+002
3.564467e+001	-6.603750e+002
3.554702e+001	-6.682500e+002
3.544936e+001	-6.656250e+002
3.535170e+001	-6.648750e+002
3.525405e+001	-6.678750e+002
3.515639e+001	-6.693750e+002
3.505873e+001	-6.652500e+002
3.496108e+001	-6.727500e+002
3.486342e+001	-6.690000e+002
3.476576e+001	-6.705000e+002
3.466810e+001	-6.720000e+002
3.457045e+001	-6.753750e+002
3.447279e+001	-6.708750e+002
3.437513e+001	-6.791250e+002
3.427748e+001	-6.765000e+002
3.417982e+001	-6.750000e+002
3.408216e+001	-6.765000e+002
3.398451e+001	-6.791250e+002
3.388685e+001	-6.746250e+002
3.378919e+001	-6.828750e+002
3.369153e+001	-6.832500e+002
3.359388e+001	-6.806250e+002
3.349622e+001	-6.813750e+002
3.339856e+001	-6.843750e+002
3.330091e+001	-6.813750e+002
3.320325e+001	-6.862500e+002
3.310559e+001	-6.873750e+002
3.300794e+001	-6.866250e+002
3.291028e+001	-6.836250e+002
3.281262e+001	-6.900000e+002
3.271496e+001	-6.855000e+002
3.261731e+001	-6.933750e+002
3.251965e+001	-6.903750e+002
3.242199e+001	-6.922500e+002
3.232434e+001	-6.896250e+002
3.222668e+001	-6.948750e+002
3.212902e+001	-6.918750e+002
3.203137e+001	-6.963750e+002
3.193371e+001	-6.960000e+002
3.183605e+001	-6.971250e+002
3.173840e+001	-6.967500e+002
3.164074e+001	-7.008750e+002
3.154308e+001	-6.967500e+002
3.144542e+001	-7.012500e+002
3.134777e+001	-6.997500e+002
3.125011e+001	-7.012500e+002
3.115245e+001	-6.993750e+002
3.105480e+001	-7.065000e+002
3.095714e+001	-7.050000e+002
3.085948e+001	-7.023750e+002
3.076183e+001	-7.046250e+002
3.066417e+001	-7.098750e+002
3.056651e+001	-7.053750e+002
3.046885e+001	-7.098750e+002
3.037120e+001	-7.072500e+002
3.027354e+001	-7.076250e+002
3.017588e+001	-7.083750e+002
3.007823e+001	-7.128750e+002
2.998057e+001	-7.121250e+002
2.988291e+001	-7.143750e+002
2.978526e+001	-7.140000e+002
2.968760e+001	-7.128750e+002
2.958994e+001	-7.143750e+002
2.949228e+001	-7.158750e+002
2.939463e+001	-7.181250e+002
2.929697e+001	-7.185000e+002
2.919931e+001	-7.158750e+002
2.910166e+001	-7.173750e+002
2.900400e+001	-7.200000e+002
2.890634e+001	-7.230000e+002
2.880869e+001	-7.200000e+002
2.871103e+001	-7.237500e+002
2.861337e+001	-7.233750e+002
2.851571e+001	-7.233750e+002
2.841806e+001	-7.241250e+002
2.832040e+001	-7.256250e+002
2.822274e+001	-7.256250e+002
2.812509e+001	-7.293750e+002
2.802743e+001	-7.290000e+002
2.792977e+001	-7.278750e+002
2.783212e+001	-7.278750e+002
2.773446e+001	-7.316250e+002
2.763680e+001	-7.320000e+002
2.753914e+001	-7.320000e+002
2.744149e+001	-7.327500e+002
2.734383e+001	-7.346250e+002
2.724617e+001	-7.342500e+002
2.714852e+001	-7.368750e+002
2.705086e+001	-7.353750e+002
2.695320e+001	-7.376250e+002
2.685555e+001	-7.383750e+002
2.675789e+001	-7.395000e+002
2.666023e+001	-7.395000e+002
2.656257e+001	-7.395000e+002
2.646492e+001	-7.410000e+002
2.636726e+001	-7.421250e+002
2.626960e+001	-7.451250e+002
2.617195e+001	-7.440000e+002
2.607429e+001	-7.451250e+002
2.597663e+001	-7.477500e+002
2.587898e+001	-7.458750e+002
2.578132e+001	-7.466250e+002
2.568366e+001	-7.481250e+002
2.558600e+001	-7.500000e+002
2.548835e+001	-7.500000e+002
2.539069e+001	-7.522500e+002
2.529303e+001	-7.507500e+002
2.519538e+001	-7.518750e+002
2.509772e+001	-7.530000e+002
2.500006e+001	-7.552500e+002
2.490241e+001	-7.537500e+002
2.480475e+001	-7.552500e+002
2.470709e+001	-7.552500e+002
2.460943e+001	-7.552500e+002
2.451178e+001	-7.563750e+002
2.441412e+001	-7.590000e+002
2.431646e+001	-7.590000e+002
2.421881e+001	-7.605000e+002
2.412115e+001	-7.593750e+002
2.402349e+001	-7.586250e+002
2.392584e+001	-7.590000e+002
2.382818e+001	-7.605000e+002
2.373052e+001	-7.597500e+002
2.363286e+001	-7.597500e+002
2.353521e+001	-7.582500e+002
2.343755e+001	-7.548750e+002
2.333989e+001	-7.432500e+002
2.324224e+001	-7.128750e+002
2.314458e+001	-7.072500e+002
2.304692e+001	-7.038750e+002
2.294927e+001	-7.038750e+002
2.285161e+001	-7.035000e+002
2.275395e+001	-7.001250e+002
2.265629e+001	-7.001250e+002
2.255864e+001	-7.001250e+002
2.246098e+001	-6.986250e+002
2.236332e+001	-6.967500e+002
2.226567e+001	-6.971250e+002
2.216801e+001	-6.967500e+002
2.207035e+001	-6.975000e+002
2.197270e+001	-6.971250e+002
2.187504e+001	-6.971250e+002
2.177738e+001	-6.971250e+002
2.167972e+001	-6.967500e+002
2.158207e+001	-6.963750e+002
2.148441e+001	-6.967500e+002
2.138675e+001	-6.967500e+002
2.128910e+001	-6.963750e+002
2.119144e+001	-6.971250e+002
2.109378e+001	-6.971250e+002
2.099613e+001	-6.971250e+002
2.089847e+001	-6.971250e+002
2.080081e+001	-6.967500e+002
2.070315e+001	-6.975000e+002
2.060550e+001	-6.975000e+002
2.050784e+001	-6.975000e+002
2.041018e+001	-6.975000e+002
2.031253e+001	-6.975000e+002
2.021487e+001	-6.975000e+002
2.011721e+001	-6.975000e+002
2.001956e+001	-6.982500e+002
1.992190e+001	-6.982500e+002
1.982424e+001	-6.982500e+002
1.972658e+001	-6.978750e+002
1.962893e+001	-6.982500e+002
1.953127e+001	-6.982500e+002
1.943361e+001	-6.982500e+002
1.933596e+001	-6.982500e+002
1.923830e+001	-6.982500e+002
1.914064e+001	-6.982500e+002
1.904299e+001	-6.982500e+002
1.894533e+001	-6.986250e+002
1.884767e+001	-6.986250e+002
1.875001e+001	-6.986250e+002
1.865236e+001	-6.986250e+002
1.855470e+001	-6.990000e+002
1.845704e+001	-6.990000e+002
1.835939e+001	-6.993750e+002
1.826173e+001	-6.997500e+002
1.816407e+001	-6.997500e+002
1.806642e+001	-6.997500e+002
1.796876e+001	-6.997500e+002
1.787110e+001	-7.005000e+002
1.777344e+001	-7.001250e+002
1.767579e+001	-7.001250e+002
1.757813e+001	-7.005000e+002
1.748047e+001	-7.008750e+002
